what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.ui",1307384230224
started,bundle,org.eclipse.jst.jsp.core,1.2.304.v201102160550,"org.eclipse.jst.jsp.core",1307384230265
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1307384230502
opened,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1307384231147
activated,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1307384231244
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1307384231262
started,bundle,org.eclipse.jem.workbench,2.0.301.v201104271300,"org.eclipse.jem.workbench",1307384231460
activated,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1307384233702
activated,editor,org.eclipse.sequoyah.localization.tools,1.0.2.M20110120-0726,"org.eclipse.sequoyah.localization.tools.extensions.implementation.android.localizationEditor",1307384241225
closed,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1307384241226
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1307384243462
closed,editor,org.eclipse.sequoyah.localization.tools,1.0.2.M20110120-0726,"org.eclipse.sequoyah.localization.tools.extensions.implementation.android.localizationEditor",1307384243462
opened,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.layout.LayoutEditor",1307384253763
activated,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.layout.LayoutEditor",1307384253796
started,bundle,org.eclipse.draw2d,3.6.2.v20110128-0100,"org.eclipse.draw2d",1307384257852
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307384271127
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307384303472
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307384314855
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307384320768
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307384323890
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307384498204
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307384505396
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307384510420
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307384514626
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307384525899
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307384530236
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307384540372
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307384556922
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307384562614
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307384568656
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307384570006
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307384575771
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307384682912
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307384682985
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307384861547
started,bundle,org.jboss.tools.jst.web.kb,3.2.0.v20110215-1251-H28-GA,"org.jboss.tools.jst.web.kb",1307384863993
started,bundle,org.eclipse.wst.css.core,1.1.403.v201103021532,"org.eclipse.wst.css.core",1307384864042
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1307384867355
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1307384870326
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1307384871969
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAutomatically",1307384877619
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildProject",1307384880752
activated,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.layout.LayoutEditor",1307384881129
started,bundle,org.eclipse.emf.edit,2.6.0.v20100914-1218,"org.eclipse.emf.edit",1307384884424
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307384899328
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307384900779
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1307384902471
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307384905807
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307384936258
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307384938406
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307385022341
opened,view,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms.views.LogCatView",1307385058454
opened,view,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms.views.DeviceView",1307385058514
opened,view,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms.views.EmulatorControlView",1307385058617
opened,view,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms.views.ThreadView",1307385058641
activated,perspective,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms.Perspective",1307385058667
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.perspectives.showPerspective",1307385058701
executed,command,,,"com.android.ide.eclipse.ddms.Perspective",1307385058701
opened,view,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms.views.HeapView",1307385105650
activated,view,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms.views.HeapView",1307385105674
closed,view,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms.views.HeapView",1307385105822
opened,view,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms.views.AllocTrackerView",1307385105857
activated,view,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms.views.AllocTrackerView",1307385105875
opened,view,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms.views.FileExplorerView",1307385112781
activated,view,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms.views.FileExplorerView",1307385112786
activated,view,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms.views.ThreadView",1307385115836
activated,view,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms.views.EmulatorControlView",1307385119722
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1307385176215
activated,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.layout.LayoutEditor",1307385176223
activated,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.layout.LayoutEditor",1307385176223
activated,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.layout.LayoutEditor",1307385176272
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307385179793
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307385180264
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307385180348
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307385182426
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1307385184533
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307385190071
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307385204925
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildProject",1307385213097
started,bundle,org.eclipse.pde.core,3.6.2.v20110210_r362,"org.eclipse.pde.core",1307385220513
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307385224940
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1307385233747
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307385233772
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307385299716
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307385301843
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307385302781
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307385304326
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307385304376
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307385392434
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307385392754
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307385403333
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307385429861
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.properties",1307385451089
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307385451103
opened,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1307385471647
started,bundle,org.maven.ide.eclipse.editor.xml,0.12.1.20110112-1712,"org.maven.ide.eclipse.editor.xml",1307385471711
activated,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1307385471796
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1307385471817
activated,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1307385479899
activated,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.layout.LayoutEditor",1307385479949
closed,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1307385479950
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1307385484573
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1307385484736
started,bundle,org.eclipse.ant.core,3.2.201.v20110203_r362,"org.eclipse.ant.core",1307385485140
started,bundle,org.eclipse.pde.build,3.6.2.R36x_20110203,"org.eclipse.pde.build",1307385485836
started,bundle,org.eclipse.mylyn.wikitext.core,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.core",1307385485845
started,bundle,org.eclipse.equinox.p2.director.app,1.0.201.R36x_v20100823,"org.eclipse.equinox.p2.director.app",1307385485846
started,bundle,org.eclipse.help.base,3.5.3.v201102101200,"org.eclipse.help.base",1307385485866
started,bundle,org.eclipse.equinox.p2.publisher,1.1.2.v20100824-2220,"org.eclipse.equinox.p2.publisher",1307385485866
started,bundle,org.eclipse.emf.ant,2.6.1.v20100905-1631,"org.eclipse.emf.ant",1307385485868
started,bundle,org.eclipse.emf.converter,2.5.0.v20100914-1218,"org.eclipse.emf.converter",1307385485897
started,bundle,org.eclipse.emf.importer,2.6.0.v20100521-1846,"org.eclipse.emf.importer",1307385485899
started,bundle,org.eclipse.emf.importer.rose,2.6.0.v20100521-1846,"org.eclipse.emf.importer.rose",1307385485901
started,bundle,org.eclipse.emf.importer.ecore,2.6.0.v20100521-1846,"org.eclipse.emf.importer.ecore",1307385485906
started,bundle,org.eclipse.equinox.p2.repository.tools,2.0.1.R36x_v20100823,"org.eclipse.equinox.p2.repository.tools",1307385485920
opened,editor,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui.internal.editor.AntEditor",1307385486048
activated,editor,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui.internal.editor.AntEditor",1307385486182
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1307385486294
started,bundle,org.jboss.tools.common.text.xml,3.2.0.v20110215-1235-H25-GA,"org.jboss.tools.common.text.xml",1307385506752
started,bundle,org.jboss.tools.seam.core,3.2.0.v20110216-1818-H44-GA,"org.jboss.tools.seam.core",1307385506949
started,bundle,org.jboss.tools.seam.ui,3.2.0.v20110216-1818-H44-GA,"org.jboss.tools.seam.ui",1307385506960
opened,editor,org.jboss.tools.common.model.ui,3.2.0.v20110215-1235-H25-GA,"org.jboss.tools.common.propertieseditor.PropertiesCompoundEditor",1307385507057
activated,editor,org.jboss.tools.common.model.ui,3.2.0.v20110215-1235-H25-GA,"org.jboss.tools.common.propertieseditor.PropertiesCompoundEditor",1307385507329
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1307385507397
opened,editor,org.jboss.tools.common.model.ui,3.2.0.v20110215-1235-H25-GA,"org.jboss.tools.common.propertieseditor.PropertiesCompoundEditor",1307385510585
activated,editor,org.jboss.tools.common.model.ui,3.2.0.v20110215-1235-H25-GA,"org.jboss.tools.common.propertieseditor.PropertiesCompoundEditor",1307385510805
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1307385510850
activated,editor,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui.internal.editor.AntEditor",1307385556106
activated,editor,org.jboss.tools.common.model.ui,3.2.0.v20110215-1235-H25-GA,"org.jboss.tools.common.propertieseditor.PropertiesCompoundEditor",1307385560154
closed,editor,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui.internal.editor.AntEditor",1307385560154
activated,editor,org.jboss.tools.common.model.ui,3.2.0.v20110215-1235-H25-GA,"org.jboss.tools.common.propertieseditor.PropertiesCompoundEditor",1307385562111
closed,editor,org.jboss.tools.common.model.ui,3.2.0.v20110215-1235-H25-GA,"org.jboss.tools.common.propertieseditor.PropertiesCompoundEditor",1307385562112
activated,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.layout.LayoutEditor",1307385563946
closed,editor,org.jboss.tools.common.model.ui,3.2.0.v20110215-1235-H25-GA,"org.jboss.tools.common.propertieseditor.PropertiesCompoundEditor",1307385563946
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1307385569964
closed,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.layout.LayoutEditor",1307385569964
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307385591530
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307385614535
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildProject",1307385619456
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307385624343
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307385626039
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1307385627197
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307385632468
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1307385636990
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307385637011
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1307385638670
opened,editor,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui.internal.editor.AntEditor",1307385638898
activated,editor,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui.internal.editor.AntEditor",1307385638963
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1307385639026
activated,editor,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui.internal.editor.AntEditor",1307385645591
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1307385645674
closed,editor,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui.internal.editor.AntEditor",1307385645675
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307385657308
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1307385664836
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307385664852
opened,editor,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui.internal.editor.AntEditor",1307385669608
activated,editor,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui.internal.editor.AntEditor",1307385669699
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1307385669766
activated,editor,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui.internal.editor.AntEditor",1307385680099
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1307385681230
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1307385693874
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307385696873
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307385697934
